Warming up --------------------------------------
Run large introspection
                         1.000  i/100ms
Calculating -------------------------------------
Run large introspection
                          4.273  (± 0.0%) i/s -     22.000  in   5.151236s
==================================
  Mode: wall(10)
  Samples: 180758 (2.08% miss rate)
  GC: 866 (0.48%)
==================================
     TOTAL    (pct)     SAMPLES    (pct)     FRAME
        23   (0.0%)          23   (0.0%)     GraphQL::Types::Boolean.coerce_input
        22   (0.0%)          22   (0.0%)     String#to_s
       142   (0.1%)          21   (0.0%)     GraphQL::Introspection::TypeType#fields
        37   (0.0%)          21   (0.0%)     GraphQL::Query#arguments_cache
        21   (0.0%)          21   (0.0%)     GraphQL::Schema::Field#description
        39   (0.0%)          19   (0.0%)     GraphQL::Schema::Warden#referenced?
        19   (0.0%)          19   (0.0%)     GraphQL::TypeKinds::TypeKind#list?
       254   (0.1%)          18   (0.0%)     GraphQL::StaticValidation::FieldsWillMerge#find_fields_and_fragments
        18   (0.0%)          18   (0.0%)     GraphQL::Types::Boolean.coerce_result
       329   (0.2%)          18   (0.0%)     GraphQL::Schema.get_field
        40   (0.0%)          18   (0.0%)     GraphQL::Language::Lexer.emit
        17   (0.0%)          17   (0.0%)     GraphQL::Schema::Member::BaseDSLMethods#authorized?
        16   (0.0%)          16   (0.0%)     GraphQL::TypeKinds::TypeKind#input_object?
        16   (0.0%)          16   (0.0%)     Set#add
        23   (0.0%)          16   (0.0%)     GraphQL::StaticValidation::FieldsHaveAppropriateSelections#validate_field_selections
        73   (0.0%)          16   (0.0%)     Set#add?
        15   (0.0%)          15   (0.0%)     GraphQL::Query#interpreter?
       194   (0.1%)          15   (0.0%)     GraphQL::Schema::Warden#initialize
        14   (0.0%)          14   (0.0%)     Hash#size
       570   (0.3%)          14   (0.0%)     GraphQL::Schema::Warden#fields
       144   (0.1%)          14   (0.0%)     GraphQL::Filter::MergedOnly#call
     90548  (50.1%)          13   (0.0%)     Enumerable#each_with_index
        61   (0.0%)          13   (0.0%)     Enumerator#each
       274   (0.2%)          12   (0.0%)     GraphQL::StaticValidation::FieldsWillMerge#fields_and_fragments_from_selection
        38   (0.0%)          12   (0.0%)     GraphQL::Language::Parser#make_node
        72   (0.0%)          12   (0.0%)     GraphQL::Schema::Warden#interfaces
        19   (0.0%)          11   (0.0%)     GraphQL::StaticValidation::ValidationContext#warden
        11   (0.0%)          11   (0.0%)     GraphQL::Schema::Member::HasFields#own_fields
        11   (0.0%)          11   (0.0%)     Integer#ord
        11   (0.0%)          11   (0.0%)     GraphQL::TypeKinds::TypeKind#fields?
       772   (0.4%)          11   (0.0%)     GraphQL::StaticValidation::FieldsWillMerge#on_field
        10   (0.0%)          10   (0.0%)     GraphQL::Execution::Interpreter::ArgumentValue#default_used?
        39   (0.0%)          10   (0.0%)     GraphQL::Introspection::TypeType#interfaces
        10   (0.0%)          10   (0.0%)     GraphQL::TypeKinds::TypeKind#input?
        13   (0.0%)          10   (0.0%)     GraphQL::Introspection::TypeType#input_fields
       308   (0.2%)          10   (0.0%)     GraphQL::StaticValidation::FieldsWillMerge#conflicts_within_selection_set
        12   (0.0%)          10   (0.0%)     GraphQL::Query::NullContext.warden
        10   (0.0%)          10   (0.0%)     GraphQL::StaticValidation::FieldsWillMerge::Field.new
       923   (0.5%)          10   (0.0%)     GraphQL::Language::Visitor#visit_node
        26   (0.0%)           9   (0.0%)     GraphQL::Schema::Member::HasArguments#get_argument
         9   (0.0%)           9   (0.0%)     Kernel#itself
         9   (0.0%)           9   (0.0%)     GraphQL::Schema::Field#visible?
       910   (0.5%)           9   (0.0%)     block (2 levels) in <module:UniqueDirectivesPerLocation>
         9   (0.0%)           9   (0.0%)     GraphQL::StaticValidation::ArgumentNamesAreUnique#validate_arguments
         9   (0.0%)           9   (0.0%)     GraphQL::StaticValidation::BaseVisitor::ContextMethods#field_definition
       570   (0.3%)           9   (0.0%)     GraphQL::StaticValidation::RequiredArgumentsArePresent#on_field
       585   (0.3%)           9   (0.0%)     GraphQL::StaticValidation::FieldsHaveAppropriateSelections#on_field
        10   (0.0%)           8   (0.0%)     GraphQL::Language::Nodes::AbstractNode#initialize
        30   (0.0%)           8   (0.0%)     Array#all?
        30   (0.0%)           8   (0.0%)     GraphQL::Introspection::TypeType#enum_values
        73   (0.0%)           8   (0.0%)     GraphQL::StaticValidation::RequiredArgumentsArePresent#assert_required_args
