Warming up --------------------------------------
Querying for 1000 objects
                         1.000  i/100ms
Calculating -------------------------------------
Querying for 1000 objects
                          3.335  (± 0.0%) i/s -     17.000  in   5.101803s
==================================
  Mode: wall(1)
  Samples: 635355 (45.11% miss rate)
  GC: 4965 (0.78%)
==================================
     TOTAL    (pct)     SAMPLES    (pct)     FRAME
       367   (0.1%)           0   (0.0%)     GraphQL::StaticValidation::OperationNamesAreValid#on_operation_definition
       376   (0.1%)           0   (0.0%)     GraphQL::StaticValidation::FragmentNamesAreUnique#on_document
       374   (0.1%)           0   (0.0%)     GraphQL::StaticValidation::FragmentsAreFinite#on_document
        24   (0.0%)           0   (0.0%)     GraphQL::Dataloader::NullDataloader#run_isolated
       374   (0.1%)           0   (0.0%)     GraphQL::StaticValidation::FragmentsAreUsed#on_document
       374   (0.1%)           0   (0.0%)     GraphQL::StaticValidation::FragmentSpreadsArePossible#on_document
        23   (0.0%)           0   (0.0%)     GraphQL::Execution::Interpreter::ArgumentsCache#initialize
       370   (0.1%)           0   (0.0%)     GraphQL::StaticValidation::DefinitionDependencies#on_document
       368   (0.1%)           0   (0.0%)     GraphQL::Language::Visitor#on_document
    332543  (52.3%)           0   (0.0%)     GraphQL::Execution::Multiplex.run_all
       380   (0.1%)           0   (0.0%)     GraphQL::StaticValidation::NoDefinitionsArePresent#on_document
       381   (0.1%)           0   (0.0%)     GraphQL::Language::Visitor#visit
       385   (0.1%)           0   (0.0%)     Kernel#catch
         1   (0.0%)           0   (0.0%)     GraphQL::Schema::Member::BaseDSLMethods#graphql_name
        14   (0.0%)           0   (0.0%)     Enumerator#each
        12   (0.0%)           0   (0.0%)     GraphQL::Filter::MergedOnly#call
         6   (0.0%)           0   (0.0%)     GraphQL::Schema::Warden#directives
